Ã…r,Bruttonasjonalprodukt (BNP) [mill. kr]
1970-01-01,23616
1971-01-01,26363
1972-01-01,29078
1973-01-01,32805
1974-01-01,37734
1975-01-01,42884
1976-01-01,48711
1977-01-01,54652
1978-01-01,60090
1979-01-01,66069
1980-01-01,77902
1981-01-01,89034
1982-01-01,98261
1983-01-01,108917
1984-01-01,122337
1985-01-01,135436
1986-01-01,139636
1987-01-01,151633
1988-01-01,157759
1989-01-01,167649
1990-01-01,176793
1991-01-01,185391
1992-01-01,189691
1993-01-01,198377
1994-01-01,206899
1995-01-01,220945
1996-01-01,240719
1997-01-01,259092
1998-01-01,262596
1999-01-01,283839
2000-01-01,336037
2001-01-01,347097
2002-01-01,344665
2003-01-01,355782
2004-01-01,389407
2005-01-01,431951
2006-01-01,477371
2007-01-01,501189
2008-01-01,549920
2009-01-01,505250
2010-01-01,532873
2011-01-01,567309
2012-01-01,594408
2013-01-01,608314
2014-01-01,615439
2015-01-01,603130
2016-01-01,595100
2017-01-01,629737
2018-01-01,673313
2019-01-01,672589
2020-01-01,643478
2021-01-01,799497
2022-01-01,1050535
2023-01-01,924263
2024-01-01,932583
